file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
chin_on_hand\Frame_10.jpg,385.0,530.0,0.5566126,385.0,507.0,0.5927784,383.0,500.0,0.64278734,337.0,475.0,0.49221817,322.0,459.0,0.6656625,265.0,557.0,0.5665738,220.0,538.0,0.74820316,342.0,725.0,0.27872634,178.0,777.0,0.7282594,404.0,758.0,0.23538476,403.0,775.0,0.2817486,206.0,849.0,0.44843188,123.0,877.0,0.56422657,427.0,916.0,0.33006203,409.0,950.0,0.6835272,583.0,1125.0,0.48874196,586.0,1228.0,0.62532437,0,chin_on_hand
chin_on_hand\Frame_100.jpg,386.0,525.0,0.54645467,387.0,504.0,0.46157536,381.0,495.0,0.6384299,340.0,477.0,0.30002105,323.0,461.0,0.5865444,277.0,577.0,0.27194336,214.0,547.0,0.6181065,380.0,724.0,0.25231493,181.0,780.0,0.6331608,358.0,580.0,0.7104336,404.0,779.0,0.23719276,211.0,857.0,0.45506138,125.0,883.0,0.6366514,431.0,908.0,0.33885384,407.0,946.0,0.560592,581.0,1139.0,0.23419009,590.0,1232.0,0.5460441,0,chin_on_hand
chin_on_hand\Frame_101.jpg,385.0,526.0,0.57297635,386.0,504.0,0.5185007,381.0,496.0,0.64667034,338.0,475.0,0.3823821,320.0,461.0,0.5998131,280.0,576.0,0.31264138,214.0,546.0,0.61470747,369.0,742.0,0.253682,179.0,779.0,0.6724689,358.0,582.0,0.7122101,407.0,778.0,0.25056472,204.0,861.0,0.41864523,120.0,882.0,0.64178634,429.0,913.0,0.38055027,410.0,945.0,0.6338482,580.0,1138.0,0.25270617,587.0,1227.0,0.6090119,0,chin_on_hand
chin_on_hand\Frame_102.jpg,383.0,528.0,0.53635025,384.0,505.0,0.49855223,380.0,498.0,0.62495446,338.0,476.0,0.33033893,321.0,463.0,0.6310624,273.0,571.0,0.3207637,215.0,548.0,0.6376922,374.0,723.0,0.27419633,179.0,779.0,0.6663511,357.0,579.0,0.7063415,407.0,779.0,0.2416331,204.0,855.0,0.32812092,123.0,880.0,0.54131013,474.0,907.0,0.12562443,411.0,942.0,0.61447835,595.0,1136.0,0.48715845,588.0,1230.0,0.5874964,0,chin_on_hand
chin_on_hand\Frame_104.jpg,382.0,529.0,0.5294292,383.0,506.0,0.5343617,380.0,498.0,0.6174524,336.0,475.0,0.3564799,321.0,462.0,0.63777167,273.0,570.0,0.3317913,218.0,541.0,0.75693446,368.0,725.0,0.28808868,180.0,777.0,0.66212976,356.0,578.0,0.6659605,405.0,777.0,0.24566394,214.0,852.0,0.51770175,129.0,879.0,0.5922234,428.0,912.0,0.34314832,409.0,945.0,0.6089355,593.0,1137.0,0.4973616,589.0,1228.0,0.58936954,0,chin_on_hand
chin_on_hand\Frame_107.jpg,386.0,526.0,0.52249074,387.0,505.0,0.47709185,382.0,496.0,0.6376538,340.0,476.0,0.32223678,322.0,459.0,0.5980967,278.0,578.0,0.28295138,217.0,542.0,0.73580384,362.0,744.0,0.2496859,180.0,779.0,0.66129375,356.0,582.0,0.64108145,405.0,779.0,0.2664987,216.0,862.0,0.45521626,129.0,885.0,0.61690605,430.0,911.0,0.3818765,408.0,944.0,0.55687916,578.0,1138.0,0.27941287,587.0,1227.0,0.5658623,0,chin_on_hand
chin_on_hand\Frame_108.jpg,387.0,527.0,0.570323,386.0,505.0,0.58341074,383.0,496.0,0.69109917,335.0,474.0,0.4452612,320.0,459.0,0.61017,275.0,573.0,0.37111765,219.0,538.0,0.7223145,341.0,745.0,0.2733796,179.0,780.0,0.7288455,403.0,763.0,0.2228179,403.0,779.0,0.31731492,194.0,859.0,0.3045959,121.0,882.0,0.633137,427.0,913.0,0.3385533,410.0,947.0,0.6589961,580.0,1129.0,0.45294353,592.0,1228.0,0.5232982,0,chin_on_hand
chin_on_hand\Frame_109.jpg,386.0,526.0,0.5326164,388.0,505.0,0.4928613,382.0,497.0,0.642723,339.0,475.0,0.34887642,321.0,460.0,0.60342264,272.0,570.0,0.32824865,217.0,541.0,0.76087517,362.0,726.0,0.2673208,177.0,779.0,0.6921455,355.0,580.0,0.6135226,398.0,780.0,0.2718983,206.0,856.0,0.34209123,124.0,881.0,0.6298884,429.0,911.0,0.3169311,410.0,947.0,0.61552835,581.0,1128.0,0.44796664,587.0,1228.0,0.5481777,0,chin_on_hand
chin_on_hand\Frame_110.jpg,385.0,528.0,0.5550269,387.0,507.0,0.5871935,382.0,498.0,0.6467612,336.0,476.0,0.37515634,319.0,459.0,0.5736537,267.0,565.0,0.40856728,216.0,538.0,0.78425467,340.0,743.0,0.2589933,177.0,777.0,0.7170995,404.0,759.0,0.23541383,398.0,779.0,0.30767837,193.0,858.0,0.32092926,116.0,880.0,0.6434853,428.0,910.0,0.35332695,410.0,943.0,0.625533,582.0,1126.0,0.46803346,588.0,1227.0,0.59160787,0,chin_on_hand
chin_on_hand\Frame_111.jpg,386.0,526.0,0.57311076,387.0,504.0,0.56205297,382.0,496.0,0.6724358,337.0,474.0,0.44617295,320.0,458.0,0.6140946,282.0,576.0,0.34948695,217.0,536.0,0.7636061,337.0,746.0,0.27578115,179.0,778.0,0.6780845,413.0,756.0,0.27363738,399.0,779.0,0.30458573,200.0,856.0,0.39964455,120.0,877.0,0.57809216,429.0,912.0,0.3720557,410.0,943.0,0.6608987,599.0,1133.0,0.5131074,586.0,1227.0,0.56683826,0,chin_on_hand
